ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med,Precipitacion,DT,TT,H1,H2,H3,H4,H5,Total_Ciclones
1985,ANUAL,NAC,27.89658874257648,12.984090855509065,20.440339799042768,770.6,0,0,0,1,0,0,0,1
1986,ANUAL,NAC,28.157027549310694,13.027165214202025,20.59209638175636,748.0,0,0,3,0,0,0,0,3
1987,ANUAL,NAC,28.067158708541456,12.814917856264136,20.4410382824028,689.2,1,0,1,0,0,0,0,2
1988,ANUAL,NAC,28.25566502181207,12.991369561839745,20.62351729182591,765.6,0,1,1,0,0,0,2,4
1989,ANUAL,NAC,28.31263823861805,12.882814714993696,20.59772647680587,691.8000000000002,0,2,1,0,1,0,0,4
1990,ANUAL,NAC,28.12819377425579,13.365939931898119,20.747066853076948,877.9,0,2,0,2,0,0,0,4
1991,ANUAL,NAC,28.30572387348564,13.297235564493285,20.801479718989466,796.4000000000002,2,1,0,0,0,0,0,3
1992,ANUAL,NAC,27.62118560491455,13.297342044663065,20.45926382478881,809.3000000000003,0,0,2,2,0,0,0,4
1993,ANUAL,NAC,28.294081082593703,13.160741264114986,20.727411173354348,859.6,1,3,2,3,0,0,0,9
1994,ANUAL,NAC,28.786000452754568,13.47450603057063,21.1302532416626,718.1999999999998,1,0,0,1,0,0,0,2
1995,ANUAL,NAC,28.865623338107586,13.481103366390323,21.173363352248963,766.8,2,1,1,1,2,0,0,7
1996,ANUAL,NAC,28.69662724550929,12.961109789397163,20.82886851745323,664.4,0,1,7,1,0,0,0,9
1997,ANUAL,NAC,28.390730258681913,13.054714888656864,20.722722573669387,692.1,0,3,3,0,2,0,0,8
1998,ANUAL,NAC,29.13565068056269,13.34405697630696,21.239853828434825,741.0,1,3,2,0,0,0,0,6
1999,ANUAL,NAC,28.786624042133713,12.71157311443861,20.74909857828617,754.1,5,0,1,0,0,0,0,6
2000,ANUAL,NAC,28.688769455522266,12.944013091810618,20.816391273666433,765.2,1,5,2,0,0,0,0,8
2001,ANUAL,NAC,28.375999194593025,13.111865041065155,20.743932117829093,766.0999999999998,1,1,2,0,0,0,0,4
2002,ANUAL,NAC,28.686930932986908,13.18613645853393,20.936533695760414,738.9,0,1,0,0,1,1,0,3
2003,ANUAL,NAC,28.643542766116013,13.266576446442828,20.95505960627942,796.1,1,5,1,2,0,0,0,9
2004,ANUAL,NAC,28.345457715321945,13.388789808212822,20.86712376176737,872.2000000000003,2,1,0,0,0,0,0,3
2005,ANUAL,NAC,28.96750720756877,13.815766622284036,21.39163691492641,788.1,1,4,2,0,0,3,0,10
2006,ANUAL,NAC,29.215505131214684,14.60705627498676,21.911280703100715,808.0000000000001,2,0,0,1,1,0,0,4
2007,ANUAL,NAC,29.348219874098767,14.673084931952289,21.776355139220556,812.2,0,1,3,0,0,0,2,6
2008,ANUAL,NAC,28.98333333333333,13.858333333333333,21.366666666666664,900.7,2,6,0,2,0,0,0,10
2009,ANUAL,NAC,29.266666666666666,14.291666666666664,21.779166666666665,723.4000000000002,3,2,1,2,0,0,0,8
2010,ANUAL,NAC,28.48333333333333,13.516666666666666,21.0,962.1,4,4,0,2,2,0,0,12
2011,ANUAL,NAC,29.65833333333333,13.975,21.820833333333336,697.2,4,3,1,1,0,0,0,9
2012,ANUAL,NAC,29.13833333333334,14.504166666666665,21.86666666666667,742.3399999999998,0,2,2,1,2,0,0,7
2013,ANUAL,NAC,29.15,14.70833333333333,21.925,920.61,2,5,4,0,0,0,0,11
2014,ANUAL,NAC,29.32500000000001,14.825,22.07500000000001,830.75,0,4,0,1,0,2,0,7
2015,ANUAL,NAC,29.0,15.1,22.1,871.97,2,0,1,0,0,2,1,6
2016,ANUAL,NAC,29.816666666666674,15.04166666666667,22.43333333333333,744.08,1,3,4,0,0,0,0,8
2017,ANUAL,NAC,30.11666666666667,14.966666666666667,22.55,781.56,0,4,3,1,0,0,0,8
2018,ANUAL,NAC,29.55833333333333,14.85,22.20833333333333,803.7,1,2,0,0,0,1,2,6
2019,ANUAL,NAC,29.9,14.9,22.4,718.3,0,5,3,0,0,0,0,8
2020,ANUAL,NAC,30.1,14.9,22.4,722.5,0,3,4,1,0,2,0,10
